"To","ES","fd","P_value","P_value_adjust"
"MCAT",0.36653343,2.71033843618078,0.00111863921935108,0.0103168752141014
"MCEE",0.47659075,1.42103380762336,0.0153464139219845,0.0680778375709871
"ME1",0.4811759,1.69906028906244,0.0303882215616101,0.112565801872511
"MECR",0.3873817,1.63236776973802,0.00197597715236168,0.0151505088835842
"MED13",0.4560467,Inf,0.0253497196873296,0.0990863706323856
"MGLL",0.32007185,1.7134202709154,0.000408394593260433,0.00507915421179603
"MID1IP1",0.45136836,2.35925699347155,0.00829336400213097,0.042690540120031
"MLYCD",0.42242315,1.90427903307543,0.00395846498214587,0.0248624136207381
"MMAA",0.42356664,1.40040416987908,0.00385679471362337,0.0244390575190014
"MMUT",0.18028633,2.2002827513169,3.81717773392499e-05,0.00113964948251463
"MSMO1",0.30820277,3.56721845234817,0.000508295754086274,0.00593227353723599
"MTM1",0.4654276,1.10059963139956,0.0373392348543246,0.13047389685896
"MTMR1",0.4546722,1.29660820856044,0.0216372410913247,0.0880719407515618
"MTMR10",0.4326628,2.91469986435477,0.00591225696940999,0.0337040652634482
"MVD",0.29731798,2.04067653679212,0.000312538534134771,0.00421467405590566
"MVK",0.31678328,1.88051269873498,0.000544176593567256,0.00620438641937517
"NCOA2",0.45980966,2.30497800574689,0.0112559685864758,0.0540000466043261
"NDUFAB1",0.3677888,1.29339484702799,0.00278787727931774,0.019430384642715
"NEU1",0.47775367,1.41893223649328,0.022845627747777,0.0917685134624409
"NSDHL",0.10277335,2.27450205685651,8.44600881193421e-06,0.000516332672036244
"NUDT7",0.3550634,Inf,0.00307726167466308,0.0207925712522761
"OSBP",0.46466568,0.724487066622057,0.0274013213412321,0.105008406978728
"OSBPL6",0.4210922,Inf,0.00932450421829454,0.0466879817295107
"PCCA",0.09128554,2.21024329672013,2.42403180998819e-06,0.000268273451522659
"PCCB",0.06590883,2.78923866460393,3.46582551000252e-06,0.000308987971509808
"PCTP",0.0499531,4.14810889416687,3.66202992686292e-06,0.000317656352709906
"PCYT2",0.1964283,2.33010713094546,6.67253432449024e-05,0.00155184774742402
"PECR",0.18930161,3.02426858448124,3.889276513446e-05,0.00114519568531238
"PHYH",0.060776193,3.27212515076625,1.56043276971697e-06,0.000213888252011189
"PI4K2B",0.38949475,2.29195809029744,0.00185547629181717,0.0145780934114742
"PI4KB",0.41159287,2.0009271297414,0.0034961876183681,0.0228301407144505
"PIK3C2A",0.48294026,1.21328102772688,0.0641579984833288,0.191727277590544
"PIK3R1",0.27969417,2.29549557883457,0.000201357245027509,0.00307699571353432
"PIKFYVE",0.39147222,Inf,0.00673157781304124,0.0370265621096073
"PISD",0.17594443,3.86133741714876,0.000102835609479792,0.00202485207745639
"PITPNB",0.4736217,0.73369403796174,0.0271137928704669,0.104405180825151
"PLEKHA6",0.18479414,2.51273712432177,5.40746058662198e-05,0.00136655470494199
"PLIN2",0.35238937,3.61318187729143,0.00166813940676598,0.013588561994963
"PLPP6",0.42676604,4.0198529819181,0.00750385164406156,0.0398017922661448
"PMVK",0.21112873,1.49494147966181,0.000155787012386649,0.00258397114343644
"PON2",0.4366277,1.24834729138727,0.0178745806601118,0.0760350783679639
"PRKAA2",0.42757612,5.22716160778932,0.00939747147800766,0.0468705279077942
"PRKAB2",0.112268426,2.79924683058277,1.0054923724961e-05,0.000556401339573491
"PRKACA",0.29627082,1.29146508566221,0.000756478349117939,0.00780680791477178
"PRXL2B",0.45260054,1.1841483665341,0.0154558973236354,0.0683745037356413
"PTEN",0.48262107,1.10379796021881,0.0337651979095667,0.121354314323353
"PTGES3",0.40810108,1.16961172559982,0.00887526002583409,0.0450002323110814
"PTGR1",0.30170804,2.65298328577268,0.000849446321669836,0.00842750531499023
"PTGR2",0.13940799,2.04180149670569,1.34704590149585e-05,0.000656489848232464
"RAB14",0.43132186,0.722965538250678,0.0110728984705454,0.0533610625243476
"RAB4A",0.3698216,1.18356378520625,0.00235086167272535,0.01710904884039
"RXRA",0.055455487,3.06908874146428,1.57254697999323e-06,0.000213888252011189
"SACM1L",0.42066684,1.02787183829694,0.00674257747988065,0.0370388311623087
"SAR1B",0.15010332,2.06719789874078,1.72520705551042e-05,0.000753340414239551
"SCD",0.41673097,2.04146290711332,0.00285390573478941,0.0197618348561092
"SCP2",0.26484936,2.27908451445761,0.000199630727689568,0.00307561357700622
"SEC23A",0.3108533,1.12927592945045,0.000409212107520134,0.00507915421179603
"SEC24A",0.07135871,2.77507043538846,2.1593807072901e-06,0.00025139407108077
"SEC24B",0.3676685,1.31102350803859,0.00169377861954749,0.0137104223945465
"SEC24C",0.48208117,0.72363477580525,0.0446829066735251,0.147921391406579
"SLC25A1",0.013683896,2.15254227965747,4.41549060219506e-07,0.000124795856199728
"SLC25A17",0.43447575,3.64599227348903,0.00895560531985375,0.0452289776145879
"SLC25A20",0.22024763,2.33197265827014,7.71067041065711e-05,0.001689242094403
"SLC27A2",0.19802733,2.91184094716577,4.77602130142482e-05,0.00127208633750398
"SLC27A3",0.33651954,2.44280877610813,0.000535123175117518,0.00613384939478455
"SLCO1B1",0.47489998,2.1964646970598,0.0262713780003308,0.102025377297794
"SLCO1B3",0.34267518,Inf,0.00269125151797655,0.0189994638099122
"SMPD1",0.47340927,1.96658551130149,0.0146262752325716,0.0658133568020967
"SPTLC3",0.37302223,4.36667362996704,0.00290448623148049,0.0199613459527551
"SQLE",0.4744165,1.76849480780747,0.0270112580901715,0.104072788523896
"STARD10",0.16462322,1.55568438498549,2.98697230358868e-05,0.000978233429425293
"SULT2A1",0.07643091,3.38002693732698,2.99823718795545e-06,0.000300713820460719
"SUMF2",0.37402865,0.838296249573873,0.00172879064122104,0.0138781446389199
"TECR",0.22732508,1.16906209874937,0.000104559072582823,0.00203383238457316
"TM7SF2",0.47170103,2.24505644439133,0.0244181693097746,0.0966339265101376
"UGT1A9",0.3696762,6.29259488428887,0.00492410221936392,0.0292394191915791
"VAPA",0.36492503,0.951917834486016,0.00137401764016213,0.0118314631003839
